id,studyday,dayweek,numall,nrel,prel,negevent,posevent,gender,rosn,age,desired,state
5,6,2,0,0,0,1.05,0.55,2,3,27.60848734,3.666666667,3.444444444
5,7,3,0,0,0,0.9,0.25,2,3,27.60848734,1,3.222222222
7,1,7,6,0,5,0.2,1.35,2,3.3,40.3504449,6,4
7,2,1,0,0,2,0.116666667,1.216666667,2,3.3,40.3504449,2,4.111111111
7,3,2,2,0,2,0,0.8,2,3.3,40.3504449,5,3.888888889
7,4,3,2,0,2,0,1.2,2,3.3,40.3504449,4.333333333,4.111111111
7,5,4,0,0,0,0.3,1.7,2,3.3,40.3504449,2.333333333,4.111111111
7,6,5,1,0,2,0,1.1,2,3.3,40.3504449,4.666666667,4.111111111
7,7,6,2,0,2.333333333,0,1.633333333,2,3.3,40.3504449,4,4.444444444
9,1,3,1,0,5,0.8,1.866666667,2,3.5,33.045859,7,4.444444444
9,2,4,1,0.333333333,2,0.583333333,1.2,2,3.5,33.045859,2,4.333333333
9,3,5,1,0,4.5,1.1,1.733333333,2,3.5,33.045859,6.666666667,4.222222222
9,4,6,7,1,3,0.55,0.625,2,3.5,33.045859,7.333333333,4.222222222
9,5,7,1,0,2,0.7,1.05,2,3.5,33.045859,6,4.222222222
9,6,1,1,0,2,0.2,1.166666667,2,3.5,33.045859,6,4.222222222
9,7,2,1,0,3,0.2,1.65,2,3.5,33.045859,6.666666667,4.333333333
10,1,5,1,0,6,0.05,1.95,2,3.5,38.19028063,5,3.555555556
10,2,6,2,0,7,0,3.4,2,3.5,38.19028063,4.666666667,4.777777778
10,3,7,0,0,3.75,0.3,0.625,2,3.5,38.19028063,5.666666667,4.111111111
10,4,1,0,0,8.5,0.45,2.15,2,3.5,38.19028063,2,3.888888889
10,5,2,0,0.333333333,4.166666667,0.283333333,1.366666667,2,3.5,38.19028063,2,4
10,6,3,1,0.4,4.4,0.24,1.39,2,3.5,38.19028063,3.333333333,3.222222222
10,7,4,0,0,4,0.15,1.25,2,3.5,38.19028063,1,3.444444444
11,1,2,0,0,0,0.4,0.65,2,3.1,26.23682409,2.333333333,4
11,2,3,2,0,0,0.1,0.85,2,3.1,26.23682409,3,3.666666667
11,3,4,0,0,2.5,0.4,0.75,2,3.1,26.23682409,3.333333333,3.777777778
11,4,5,3,0,2,0.2,1.325,2,3.1,26.23682409,4.333333333,4.111111111
11,5,6,5,0,3,0.2,1.466666667,2,3.1,26.23682409,4,4.111111111
11,6,7,0,0,0,0.55,0.5,2,3.1,26.23682409,1,3.777777778
11,7,1,0,0,0,0.25,0.6,2,3.1,26.23682409,1,4.111111111
16,1,6,0,0,6,1.95,1.1,2,3.7,30.46954141,4,4.111111111
16,2,7,2,2,6,0.65,2.05,2,3.7,30.46954141,5.333333333,4.333333333
16,3,1,3,0,3,0,1.8,2,3.7,30.46954141,5.666666667,4.444444444
16,4,2,2,3,3,0.4,1.1,2,3.7,30.46954141,5,4.222222222
16,5,3,2,0,3,0.3,1.25,2,3.7,30.46954141,5,3.888888889
16,6,4,3,0,3,1.433333333,1.266666667,2,3.7,30.46954141,7,4.888888889
16,7,5,3,0,6,0.8,2.2,2,3.7,30.46954141,5.333333333,4.666666667
17,1,4,9,1,0,0.35,0.2,2,3.5,42.27789185,7.333333333,4.111111111
17,2,5,3,3,3,0.8,1.15,2,3.5,42.27789185,1,3.888888889
17,3,6,0,0,3,0.1,1.6,2,3.5,42.27789185,4.666666667,4.222222222
17,4,7,3,0,4.5,0.3,1.35,2,3.5,42.27789185,6.333333333,4.111111111
17,5,1,12,0,3,0,1.85,2,3.5,42.27789185,6.333333333,4.555555556
17,6,2,0,0,2,0,2.6,2,3.5,42.27789185,2,4.555555556
17,7,3,3,0,2,0.2,0.85,2,3.5,42.27789185,6.333333333,4.222222222
18,1,4,1,0,5,0.45,1.3,1,3.3,39.20602327,5.666666667,3.888888889
18,2,5,2,0,4,0.5,0.825,1,3.3,39.20602327,6,3.777777778
18,3,6,2,0,7.333333333,0.8,1.233333333,1,3.3,39.20602327,5.666666667,3.777777778
18,4,7,1,0,4.5,0.6,1.85,1,3.3,39.20602327,2.333333333,3
18,5,1,2,0.666666667,5.333333333,1.116666667,1.633333333,1,3.3,39.20602327,6,3.777777778
18,6,2,2,0,4,0.416666667,1.216666667,1,3.3,39.20602327,6,3.222222222
18,7,3,1,0,6,0.783333333,1.15,1,3.3,39.20602327,5.333333333,4
19,1,5,1,0,4,0.1,0.85,2,3.9,38.13552361,3,4.222222222
19,2,6,1,1,5.666666667,0.6,1.366666667,2,3.9,38.13552361,5.333333333,4
19,3,7,1,0,4,0.5,0.8,2,3.9,38.13552361,2.666666667,3.888888889
19,4,1,2,3,6,0.75,1.8,2,3.9,38.13552361,5.666666667,4.555555556
19,5,2,2,0.5,3.916666667,0.45,0.791666667,2,3.9,38.13552361,5.333333333,4.555555556
19,6,3,1,0,3.5,0.4,0.8,2,3.9,38.13552361,5.666666667,3.888888889
19,7,4,1,0,4,0.3,0.95,2,3.9,38.13552361,3.333333333,4.444444444
21,1,7,3,0.333333333,5.333333333,0.133333333,1.733333333,1,3.2,40.68720055,3.666666667,4.555555556
21,2,1,1,0,3.333333333,0.2,1.133333333,1,3.2,40.68720055,4,4.333333333
21,3,2,2,0,4,1,1,1,3.2,40.68720055,5,4.444444444
21,4,3,2,0.5,5,1.15,2,1,3.2,40.68720055,4,4.333333333
21,5,4,2,0,2,0,0.9,1,3.2,40.68720055,3.666666667,4.333333333
21,6,5,3,0,6,0.15,1.35,1,3.2,40.68720055,4,4.333333333
21,7,6,2,0.6,0.8,0.26,1.18,1,3.2,40.68720055,3.666666667,4.333333333
22,1,3,0,0,0,0.3,0.2,1,3.8,36.65982204,6.666666667,3.444444444
22,2,4,2,0,0,0.85,0.3,1,3.8,36.65982204,4,3.222222222
22,3,5,0,0,0,0.5,0.8,1,3.8,36.65982204,1.333333333,3.666666667
22,4,6,5,0,0,0.1,0.35,1,3.8,36.65982204,4,3.666666667
22,5,7,1,0,0,0.033333333,0.533333333,1,3.8,36.65982204,4.333333333,4.555555556
22,6,1,0,0,0,0.75,0.8,1,3.8,36.65982204,1,3.666666667
22,7,2,0,0,0,0.25,0.5,1,3.8,36.65982204,4.333333333,3.111111111
23,1,3,2,1,2,0.283333333,1.616666667,2,2.9,39.42778919,5.666666667,4
23,2,4,1,0,1.5,0.25,1.45,2,2.9,39.42778919,4,4.111111111
23,3,5,3,0,3.333333333,0.3,2.108333333,2,2.9,39.42778919,4.333333333,4.222222222
23,4,6,4,0,3,0.15,0.95,2,2.9,39.42778919,5,3.888888889
23,5,7,3,0,2,0.233333333,1.5,2,2.9,39.42778919,4,4.222222222
23,6,1,0,0,1,0.45,0.6,2,2.9,39.42778919,1,3.888888889
23,7,2,2,0,1,0.7,1.166666667,2,2.9,39.42778919,6,4.111111111
24,1,1,2,0.5,4,0.15,0.966666667,1,2.1,37.26488706,5,3.777777778
24,2,2,2,0,3,0.1,1.25,1,2.1,37.26488706,5.666666667,3.444444444
24,3,3,1,0,2.5,1.1,0.65,1,2.1,37.26488706,4,3.333333333
24,4,4,2,0,3,0.333333333,1,1,2.1,37.26488706,5.333333333,3.777777778
24,5,5,3,0,8.666666667,0.5,1.333333333,1,2.1,37.26488706,6.666666667,3.888888889
24,6,6,1,0,3,0,1.833333333,1,2.1,37.26488706,4,4.111111111
24,7,7,1,0,6,0.633333333,1.666666667,1,2.1,37.26488706,3,4.111111111
25,1,3,4,2.25,0,0.908333333,0.85,2,3.7,35.60574949,6,3.888888889
25,2,4,2,1,0,0.8,0.95,2,3.7,35.60574949,2,3.888888889
25,3,5,2,0,2,0.3,1.1,2,3.7,35.60574949,4.333333333,4
25,4,6,2,2.25,0,0.375,0.5,2,3.7,35.60574949,4,4.222222222
25,5,7,1,0,0,0.4,0.75,2,3.7,35.60574949,2.666666667,4.111111111
25,6,1,1,0,0.5,0.35,1.25,2,3.7,35.60574949,3.666666667,4.222222222
25,7,2,0,0,0.5,0.725,0.45,2,3.7,35.60574949,2.666666667,4.222222222
26,1,5,3,0,1,0.8,1.266666667,2,2.7,36.0054757,6.666666667,3.111111111
26,2,6,1,0,1,1.325,0.25,2,2.7,36.0054757,6.333333333,3.555555556
26,3,7,2,0.666666667,0.666666667,0.433333333,0.866666667,2,2.7,36.0054757,7,3.333333333
26,4,1,2,0,0,0.475,0.8,2,2.7,36.0054757,7.333333333,3.333333333
26,5,2,3,1,0,1.063333333,0.555,2,2.7,36.0054757,6.666666667,3.333333333
26,6,3,2,4,0,1.7,0.508333333,2,2.7,36.0054757,7.333333333,3.444444444
26,7,4,2,0,3,0.986666667,1.956666667,2,2.7,36.0054757,5.666666667,3.222222222
27,1,1,0,0,0,0.1,0.4,2,3.4,34.56810404,3.666666667,3.777777778
27,2,2,1,0,0,0.3,0.7,2,3.4,34.56810404,4,3.888888889
27,3,3,2,0,0,0.4,0.896666667,2,3.4,34.56810404,5.666666667,3.777777778
27,4,4,2,0,1.666666667,0.2,0.566666667,2,3.4,34.56810404,5.666666667,3.666666667
27,5,5,6,1.5,0,0.7,0.6,2,3.4,34.56810404,7,4.222222222
27,6,6,2,4,0,0.8,0.6,2,3.4,34.56810404,3.333333333,3.666666667
27,7,7,1,0,0,0.25,0.7,2,3.4,34.56810404,3,4
28,1,1,0,0,3,0.25,0.4,2,4,39.01437372,1,4.222222222
28,2,2,4,0,6,0.3,0.9,2,4,39.01437372,1,4.222222222
28,3,3,2,0,0,0.833333333,0.066666667,2,4,39.01437372,1,4.222222222
28,4,4,0,2,0,0.5,0,2,4,39.01437372,2.333333333,4.222222222
28,5,5,1,0,5.5,0.6,0.85,2,4,39.01437372,2.333333333,4.222222222
28,6,6,0,0,6,0.9,0.8,2,4,39.01437372,3.333333333,4.222222222
28,7,7,0,0,6,0.85,0.8,2,4,39.01437372,2,4.111111111
29,1,1,0,0,4.5,0.8,0.9,2,3.8,34.80629706,3.333333333,3.333333333
29,2,2,1,0.2,0.6,0.661666667,0.81,2,3.8,34.80629706,5,3.222222222
29,3,3,2,1.6,0,1.085,0.583333333,2,3.8,34.80629706,5,3
29,4,4,2,0,1,1.3,1.208333333,2,3.8,34.80629706,5.333333333,3.555555556
29,5,5,1,0.4,0.8,1.273333333,0.98,2,3.8,34.80629706,4.666666667,3.555555556
29,6,6,1,0.666666667,1.333333333,1.5,1.033333333,2,3.8,34.80629706,5,3.333333333
29,7,7,1,0.75,4.25,0.775,1.091666667,2,3.8,34.80629706,4.333333333,3.666666667
30,1,7,5,0,0,0.15,0.5,1,2.5,40.58863792,4.333333333,3.666666667
30,2,1,2,0,0,0.2,0.2,1,2.5,40.58863792,5,3.555555556
30,3,2,1,0,0,0.2,0.5,1,2.5,40.58863792,4.666666667,3.111111111
30,4,3,2,0,0,0.2,0.3,1,2.5,40.58863792,5,3.555555556
30,5,4,2,0,0,0.1,0.2,1,2.5,40.58863792,5,3.222222222
30,6,5,1,0,0,0.3,0.1,1,2.5,40.58863792,5,3.666666667
30,7,6,2,0,2,0.2,0.9,1,2.5,40.58863792,4.666666667,3.777777778
33,1,3,5,5.5,1,1.93,0.6,2,3.1,32.47364819,5.333333333,3.444444444
33,2,4,3,0,3,0.44,0.99,2,3.1,32.47364819,6,3.444444444
33,3,5,3,1.166666667,0.833333333,0.616666667,0.733333333,2,3.1,32.47364819,5.666666667,3.555555556
33,4,6,2,1.5,3.5,0.6,0.95,2,3.1,32.47364819,3.666666667,3.222222222
33,5,7,2,0,2,0.05,1.3,2,3.1,32.47364819,6.333333333,3.333333333
33,6,1,2,0.333333333,1.666666667,0.783333333,0.266666667,2,3.1,32.47364819,5,2.333333333
33,7,2,2,0,3,0.133333333,1.266666667,2,3.1,32.47364819,7.333333333,3.444444444
34,1,1,2,0,0,0.2,0.1,1,3,34.29158111,6,3.555555556
34,2,2,1,0,2,0.2,0.266666667,1,3,34.29158111,6.333333333,3.333333333
34,3,3,2,0,2,0.1,0.2,1,3,34.29158111,6,3.444444444
34,4,4,3,0,0,0,0.1,1,3,34.29158111,6,3.333333333
34,5,5,5,0,0,0,0.4,1,3,34.29158111,6,3.333333333
34,6,6,9,0,1,0,0.2,1,3,34.29158111,6.333333333,4.111111111
34,7,7,6,0,1.5,0.05,0.35,1,3,34.29158111,6.333333333,3.666666667
35,1,5,0,0,3,0.1,1.65,2,3.8,29.97672827,4,4.111111111
35,2,6,5,0,0,0.1,1.25,2,3.8,29.97672827,5.333333333,4.333333333
35,3,7,3,0,0,0,0.3,2,3.8,29.97672827,4.333333333,4.777777778
35,4,1,0,0,0,0,0.5,2,3.8,29.97672827,2.333333333,4.333333333
35,5,2,2,0,3,0.366666667,0.933333333,2,3.8,29.97672827,3.666666667,4.222222222
35,6,3,0,0,2,0.033333333,0.566666667,2,3.8,29.97672827,1,4.333333333
35,7,4,0,0,0,0.15,0.3,2,3.8,29.97672827,1.333333333,4.111111111
37,1,2,2,0,0,0.2,0.6,2,3.5,37.97946612,2.666666667,3.888888889
37,2,3,2,0,0,0.375,1.2,2,3.5,37.97946612,1.666666667,3.222222222
37,3,4,2,2,0,0.4,1,2,3.5,37.97946612,2.333333333,3.888888889
37,4,5,3,0,1,0.15,0.275,2,3.5,37.97946612,4.333333333,3.888888889
37,5,6,5,0,1,0.2,0.6,2,3.5,37.97946612,1.333333333,3.888888889
37,6,7,2,0,0.666666667,0.1,0.466666667,2,3.5,37.97946612,1.333333333,3.555555556
37,7,1,1,1,0,0.1,0.6,2,3.5,37.97946612,1.333333333,3.888888889
38,1,4,6,0.6,0.2,0.285,0.495,1,3.6,32.39972621,4,3.888888889
38,2,5,3,0.5,1.5,0.05,0.95,1,3.6,32.39972621,4.333333333,3.777777778
38,3,6,8,0,4.333333333,0.2,1.333333333,1,3.6,32.39972621,5.666666667,4
38,4,7,4,0,4,0,1.1,1,3.6,32.39972621,4.333333333,3.888888889
38,5,1,5,0,3,0,1.033333333,1,3.6,32.39972621,3,3
38,6,2,3,0,1.5,0.25,0.9,1,3.6,32.39972621,4,3.666666667
38,7,3,6,0,3,0.1,1,1,3.6,32.39972621,4,3.888888889
39,1,3,0,0,2.5,0.975,1.008333333,1,3.5,34.24229979,6,2.444444444
39,2,4,2,2,2.5,1.29,1.196666667,1,3.5,34.24229979,7.666666667,3.666666667
39,3,5,2,0,4,0.516666667,1.8,1,3.5,34.24229979,5.666666667,3.777777778
39,4,6,2,0,5.333333333,0.8,1.433333333,1,3.5,34.24229979,7,4.222222222
39,5,7,1,0,5,0.766666667,2.216666667,1,3.5,34.24229979,3,4.111111111
39,6,1,2,1.333333333,1.333333333,0.583333333,1.866666667,1,3.5,34.24229979,6.666666667,4.111111111
39,7,2,2,0,1,0.916666667,1.133333333,1,3.5,34.24229979,7,4.111111111
40,1,5,3,0,1,0.1,0.1,1,3,40.56399726,4.666666667,4
40,2,6,1,1,0,0.2,0.2,1,3,40.56399726,2.333333333,3.777777778
40,3,7,4,0,1,0,0.5,1,3,40.56399726,4.333333333,3.888888889
40,4,1,0,0,1,0.5,0.5,1,3,40.56399726,3,4
40,5,2,3,0,1,0,0.7,1,3,40.56399726,4.666666667,3.888888889
40,6,3,1,0,2,0.15,0.2,1,3,40.56399726,3,3.777777778
40,7,4,2,2,1,0.5,0.5,1,3,40.56399726,4,3.888888889
41,1,3,3,0,5.333333333,0,2.466666667,1,3.8,34.92676249,4,3.888888889
41,2,4,2,0,2,0.1,1.8,1,3.8,34.92676249,6,4
41,3,5,2,0,3,0.075,2.491666667,1,3.8,34.92676249,3.666666667,3.888888889
41,4,6,5,0,8,0.4,1.3,1,3.8,34.92676249,6,3.888888889
41,5,7,4,0,5.5,0.4,0.95,1,3.8,34.92676249,5.333333333,4.111111111
41,6,1,3,0,3.333333333,0.5,1.533333333,1,3.8,34.92676249,5.666666667,3.777777778
41,7,2,0,0,3,0.15,1.15,1,3.8,34.92676249,3.333333333,3.777777778
42,1,4,6,0,6,0,1.3,2,4,35.15674196,4.666666667,4.333333333
42,2,5,4,0,5,0.5,1.6,2,4,35.15674196,4.666666667,4.444444444
42,3,6,3,0,6,0.9,2.1,2,4,35.15674196,3.666666667,4.555555556
42,4,7, ,0,3,0,1.8,2,4,35.15674196,3.666666667,4.555555556
42,5,1,5,0,3,0.15,1.35,2,4,35.15674196,3.333333333,4.555555556
42,6,2,0,0,3,0.8,0.6,2,4,35.15674196,1,4.555555556
42,7,3,3,0,3,0.6,0.9,2,4,35.15674196,3.666666667,4.555555556
43,1,7,18,0.333333333,1,1.25,0.325,2,3.8,34.70773443,1.666666667,3.777777778
43,2,1,2,1,1,1.375,0.941666667,2,3.8,34.70773443,2,3.777777778
43,3,2,0,2,0,1.233333333,0.1,2,3.8,34.70773443,5.666666667,3.444444444
43,4,3,1,0,1.75,1.3,0.441666667,2,3.8,34.70773443,2.666666667,3.777777778
43,5,4,0,0,1,0.9,0.4,2,3.8,34.70773443,2.666666667,4
43,6,5,0,0.333333333,3.333333333,0.383333333,0.933333333,2,3.8,34.70773443,6,3.888888889
43,7,6,5,3,3,0.5,0.9,2,3.8,34.70773443,1.666666667,3.777777778
44,1,1,0,0.25,3.833333333,0.375,0.608333333,1,3.5,34.92402464,3.666666667,3.555555556
44,2,2,2,0,2,0.2,0.6,1,3.5,34.92402464,3.666666667,3.555555556
44,3,3,2,0,4,0.15,1.133333333,1,3.5,34.92402464,4,3.444444444
44,4,4,2,0,1.5,0.175,0.425,1,3.5,34.92402464,4,3.444444444
44,5,5,4,0,2,0.2,0.45,1,3.5,34.92402464,5,3.555555556
44,6,6,0,0,6,0.133333333,0.8,1,3.5,34.92402464,4.333333333,3.444444444
44,7,7,1,0,3.25,0.366666667,0.325,1,3.5,34.92402464,4.333333333,3.666666667
45,1,5,2,0.5,2,0.483333333,1.133333333,2,3.4,35.20328542,5.333333333,3.222222222
45,2,6,2,0,5.5,0,2.35,2,3.4,35.20328542,5.333333333,3.666666667
45,3,7,1,1,5.333333333,0.25,2.433333333,2,3.4,35.20328542,3,4.222222222
45,4,1,2,0.4,3.066666667,0.24,2.106666667,2,3.4,35.20328542,4,3.888888889
45,5,2,2,0,4.5,0.85,1.65,2,3.4,35.20328542,4.333333333,3.888888889
45,6,3,3,0,3.166666667,0.35,1.55,2,3.4,35.20328542,5.333333333,3.888888889
45,7,4,4,0,2.8,0.45,1.13,2,3.4,35.20328542,4.333333333,3.777777778
46,1,7,0,1,0,0.1,0,1,3.8,27.80013689,4,3.555555556
46,2,1,0,0,0,0.3,0.4,1,3.8,27.80013689,1.666666667,4.111111111
46,3,2,1,1.5,0,0.25,0,1,3.8,27.80013689,4.666666667,4.444444444
46,4,3,1,0,1.75,0.3,0.375,1,3.8,27.80013689,3.666666667,4.444444444
46,5,4,1,0,0.5,0.15,0.05,1,3.8,27.80013689,5,3.777777778
46,6,5,0,0,0.5,0.15,0.05,1,3.8,27.80013689,2.666666667,4.444444444
46,7,6,1,0,0,0.2,0,1,3.8,27.80013689,4,3.888888889
47,1,4,4,0,6,0.25,1.55,2,3.3,32.38877481,6,4.333333333
47,2,5,2,0,3.8,1.1,0.963333333,2,3.3,32.38877481,6,3.555555556
47,3,6,4,0.4,4.8,0.14,1.58,2,3.3,32.38877481,4,4
47,4,7,2,0,7.583333333,0.166666667,2.008333333,2,3.3,32.38877481,3,4
47,5,1,0,0,4,0.7,1.55,2,3.3,32.38877481,2.666666667,3.888888889
47,6,2,4,2,0.25,0.6,0.535,2,3.3,32.38877481,5,3.888888889
47,7,3,2,0,4,1.2,0.95,2,3.3,32.38877481,5.666666667,4.111111111
49,1,4,0,1,2,0.8,0.983333333,1,3.4,36.89801506,2,3.555555556
49,2,5,2,0,4,0.466666667,2.016666667,1,3.4,36.89801506,6.333333333,3.777777778
49,3,6,2,1,5.333333333,1.1,1.633333333,1,3.4,36.89801506,6,3.777777778
49,4,7,0,0,2,1.15,0.75,1,3.4,36.89801506,2,3.666666667
49,5,1,4,0.5,0.5,0.65,0.75,1,3.4,36.89801506,6,3
49,6,2,0,1,0,1,0.85,1,3.4,36.89801506,2.333333333,3.888888889
49,7,3,1,0,1,0.666666667,1.2,1,3.4,36.89801506,6,4.111111111
50,1,7,1,0,0,0.1,1.5,1,3.6,37.2073922,2.666666667,3.666666667
50,2,1,2,0,0,0,1.15,1,3.6,37.2073922,2,3.777777778
50,3,2,4,0,0,0.125,2.575,1,3.6,37.2073922,3,3.555555556
50,4,3,1,0,0,0.166666667,1.516666667,1,3.6,37.2073922,1,4.222222222
50,5,4,4,0,0,0.2,1.35,1,3.6,37.2073922,4.333333333,3.555555556
50,6,5,2,0,3,0,2.766666667,1,3.6,37.2073922,4.333333333,3.888888889
50,7,6,3,0,0,0,1.766666667,1,3.6,37.2073922,4.666666667,3.777777778
52,1,6,4,0.5,4.5,0.4,1.15,2,4,31.68240931,1,3.777777778
52,2,7,0,3,0,1.55,0.95,2,4,31.68240931,6,4.444444444
52,3,1,1,1.5,1.5,0.75,0.95,2,4,31.68240931,5.333333333,4.333333333
52,4,2,2,0,3,1.05,1.55,2,4,31.68240931,5,4.333333333
52,5,3,1,3,3,0.7,1.8,2,4,31.68240931,7.333333333,4.333333333
52,6,4,8,0,3,0.3,1.2,2,4,31.68240931,1,4.222222222
52,7,5,0,0,3,0.3,0.4,2,4,31.68240931,7,4.444444444
53,1,5,6,0,0.5,0,0.616666667,1,3.5,32.27652293,6.333333333,4.222222222
53,2,6,5,0,5,0.4,0.9,1,3.5,32.27652293,6.333333333,4.111111111
53,3,7,3,1,1.5,0.55,0.3,1,3.5,32.27652293,4.666666667,3.888888889
53,4,1,5,0.5,0.5,0.35,0.4,1,3.5,32.27652293,6,4.111111111
53,5,2,0,0,2,0.3,0.5,1,3.5,32.27652293,2,4.111111111
53,6,3,3,1,0,0.35,0.366666667,1,3.5,32.27652293,6,4
53,7,4,4,0.5,0.5,0.25,0.7,1,3.5,32.27652293,6.666666667,4.222222222
54,1,5,1,0,8.5,0.283333333,1.733333333,1,4,34.47501711,5.333333333,4.666666667
54,2,6,3,0,6.5,0.325,1.4,1,4,34.47501711,6,4.333333333
54,3,7,10,0,7.9,0.4,1.39,1,4,34.47501711,6,4.555555556
54,4,1,0,0,4.5,0.3,1.35,1,4,34.47501711,2.333333333,4.222222222
54,5,2,0,0,4.333333333,0.191666667,0.891666667,1,4,34.47501711,5.666666667,4.333333333
54,6,3,1,1,6,0.55,1.325,1,4,34.47501711,5.333333333,4.111111111
54,7,4,3,0,8.166666667,0.558333333,1.483333333,1,4,34.47501711,6,3.888888889
56,1,3,0,0.666666667,8,0.716666667,1.4,1,3,26.14099932,2.666666667,4.555555556
56,2,4,2,0,9,0.2,0.9,1,3,26.14099932,4.333333333,4.222222222
56,3,5,1,0,9,0,1.3,1,3,26.14099932,4.666666667,4.555555556
56,4,6,1,0,8.333333333,0.2,1.433333333,1,3,26.14099932,3.666666667,4.333333333
56,5,7,3,0,6,0,1,1,3,26.14099932,4.666666667,4.555555556
56,6,1,3,0,9,0.3,1.875,1,3,26.14099932,4.666666667,4.555555556
56,7,2,2,0,9,0,1.7,1,3,26.14099932,4,4.555555556
57,1,4,11,0,6,0.2,1.9,1,4,37.97399042,5.666666667,4.222222222
57,2,5,0,0,2,0.316666667,1.183333333,1,4,37.97399042,2.333333333,4.555555556
57,3,6,8,0,1.5,0.3,1.05,1,4,37.97399042,4.333333333,4.555555556
57,4,7,6,0,7,0,1.6,1,4,37.97399042,7,4.555555556
57,5,1,0,0,4,0.45,0.65,1,4,37.97399042,4.666666667,4.555555556
57,6,2,5,0,2,0.4,0.6,1,4,37.97399042,5.666666667,4.444444444
57,7,3,0,0,4,0.7,0.7,1,4,37.97399042,5.666666667,4.333333333
58,1,3,0,0,2,0.6,0.75,1,3.6,31.99178645,2,3.555555556
58,2,4,9,0,4.666666667,0.65,1.116666667,1,3.6,31.99178645,7,3.444444444
58,3,5,8,0,3,0.2,0.5,1,3.6,31.99178645,7.666666667,4
58,4,6,21,0,5,0.4,1.2,1,3.6,31.99178645,8,4
58,5,7,0,0,5,0.2,1.3,1,3.6,31.99178645,1,4.111111111
58,6,1,4,0,2,0.2,0.2,1,3.6,31.99178645,4.666666667,4
58,7,2,10,0,4,0,0.8,1,3.6,31.99178645,6.333333333,3.888888889
60,1,5,6,0,0,0.3,0.45,1,3.3,34.07255305,5.333333333,3.666666667
60,2,6,5,1,0.5,0.25,0.5,1,3.3,34.07255305,6,3.666666667
60,3,7,4,5,0,0.5,0.5,1,3.3,34.07255305,5.666666667,4
60,4,1,6,5,0,0.6,0.1,1,3.3,34.07255305,5.666666667,3.555555556
60,5,2,1,2.75,0,0.491666667,0.25,1,3.3,34.07255305,4,3
60,6,3,6,2,0,0.4,0.2,1,3.3,34.07255305,6.333333333,3
60,7,4,3,5,0,0.6,0.1,1,3.3,34.07255305,4.666666667,2.888888889
61,1,7,1,1,1,1.083333333,1.616666667,2,3.9,39.76454483,4.666666667,4.222222222
61,2,1,1,0,0,1.05,0.658333333,2,3.9,39.76454483,5.666666667,3.666666667
61,3,2,1,0,2,0.4,1.733333333,2,3.9,39.76454483,3.666666667,4.333333333
61,4,3,1,0.2,1.6,0.37,1.285,2,3.9,39.76454483,5.333333333,4.444444444
61,5,4,5,0,3,0.591666667,2.016666667,2,3.9,39.76454483,5.666666667,4.555555556
